source_stop,source_lat,source_long,dest_stop,dest_lat,dest_long,rout_id
Champaign Walmart,40.148355,-88.25557999999998,Market Place,40.144435,-88.240381,1
Market Place,40.144435,-88.240381,Illinois Terminal,40.115535,-88.241104,1
Illinois Terminal,40.115535,-88.241104,Transit Plaza,40.10847,-88.22895667,1
Transit Plaza,40.10847,-88.22895667,Ikenberry,40.10415,-88.234817,1
Ikenberry,40.10415,-88.234817,Lot E-14,40.09568833,-88.240565,1
Lot E-14,40.09568833,-88.240565,Savoy Plaza,40.04806518554688,-88.25595092773438,1
Savoy Plaza,40.04806518554688,-88.25595092773438,Winfield Village,40.068075,-88.244815,1
Winfield Village,40.068075,-88.244815,Parkview,40.06806667,-88.2427222,1
Parkview,40.06806667,-88.2427222,Champaign Walmart,40.148355,-88.25557999999998,1
Goodwin & Main,40.11462,-88.22404167,Ceramics,40.111654,-88.22406599999998,22
Ceramics,40.111654,-88.22406599999998,Illini Union,40.110364,-88.226834,22
Illini Union,40.110364,-88.226834,Transit Plaza,40.10847,-88.22895667,22
Transit Plaza,40.10847,-88.22895667,Illini Tower,40.106745,-88.23351,22
Illini Tower,40.106745,-88.23351,Ikenberry,40.10415,-88.234817,22
Ikenberry,40.10415,-88.234817,ARC,40.10140228271485,-88.23602294921874,22
ARC,40.10140228271485,-88.23602294921874,Main Library,40.10409700000001,-88.228628,22
Main Library,40.10409700000001,-88.228628,Krannert Center,40.108291,-88.223785,22
Krannert Center,40.108291,-88.223785,ISR,40.10914,-88.22208999999998,22
ISR,40.10914,-88.22208999999998,LAR,40.10410308837892,-88.21926879882812,22
LAR,40.10410308837892,-88.21926879882812,McKinley Health,40.10902500000001,-88.262413888889,22
McKinley Health,40.10902500000001,-88.262413888889,PAR & FAR,40.09949000000001,-88.220416,22
PAR & FAR,40.09949000000001,-88.220416,Goodwin & Main,40.11462,-88.22404167,22
Town & Country,40.12204833,-88.19766667,Cunningham Children's Center,40.126745,-88.19963,10
Cunningham Children's Center,40.126745,-88.19963,Crystal Lake Park,40.11875167,-88.20358333,10
Crystal Lake Park,40.11875167,-88.20358333,Lincoln Square Courthouse,40.111934,-88.207296,10
Lincoln Square Courthouse,40.111934,-88.207296,Phillips Rec.,40.11243000000001,-88.214612,10
Phillips Rec.,40.11243000000001,-88.214612,Ceramics,40.111654,-88.22406599999998,10
Ceramics,40.111654,-88.22406599999998,UI Library,40.10423,-88.22867832999998,10
UI Library,40.10423,-88.22867832999998,Ikenberry,40.10415,-88.234817,10
Ikenberry,40.10415,-88.234817,Lot E-14,40.09568833,-88.240565,10
Lot E-14,40.09568833,-88.240565,Old Farm,40.093685,-88.270024,10
Old Farm,40.093685,-88.270024,Lincolnshire,40.097135,-88.269354,10
Lincolnshire,40.097135,-88.269354,Town & Country,40.12204833,-88.19766667,10
Orchard Downs,40.09660333,-88.21430333,PAR & FAR,40.09949000000001,-88.220416,12
PAR & FAR,40.09949000000001,-88.220416,McKinley Health,40.10902500000001,-88.262413888889,12
McKinley Health,40.10902500000001,-88.262413888889,CRCE,40.10408006223182,-88.22179874600833,12
CRCE,40.10408006223182,-88.22179874600833,Krannert Center,40.108291,-88.223785,12
Krannert Center,40.108291,-88.223785,Illini Union,40.110364,-88.226834,12
Illini Union,40.110364,-88.226834,Engineering Quad,40.11169731950419, -88.2288966144966,12
Engineering Quad,40.11169731950419, -88.2288966144966,Illinois Terminal,40.115535,-88.241104,12
Vet-Med, 40.09263,-88.22042166999998,PAR & FAR, 40.10067,-88.220743,21
PAR & FAR, 40.10067,-88.220743,South Quad, 40.1041280,-88.224064,21
South Quad, 40.1041280,-88.224064,Main Library, 40.10423,-88.22867833,21
Main Library, 40.10423,-88.22867833,Transit Plaza, 40.10820167,-88.22892333,21
Transit Plaza, 40.10820167,-88.22892333,Illini Union, 40.11044667,-88.22740167,21 
Illini Union, 40.11044667,-88.22740167,Krannert Center,40.108291,-88.223785,21 
Krannert Center, 40.108291,-88.223785,CRCE, 40.104063888889,-88.2218,21
CRCE, 40.10408006223182,-88.22179874600833,McKinley Health, 40.109025, -88.2624139,21
Lincoln Square,40.111934,-88.207296, Phillips Rec., 40.11243000000001, -88.214612,13
Phillips Rec.,40.11243000000001,-88.214612,Ceramics,40.111654,-88.22406599999998,13
Ceramics,40.111654,-88.22406599999998,Illini Union, 40.11044667,-88.22740167,13
Illini Union, 40.11044667,-88.22740167,Transit Plaza,40.10820167,-88.22892333,13
Transit Plaza,40.10820167,-88.22892333,Main Library,40.10423,-88.22867833,13
Main Library,40.10423,-88.22867833,Undergrad Library,40.10409700000001,-88.228628,13
Undergrad Library,40.104097,-88.228628,CRCE,40.10408006223182,-88.22179874600833,13
CRCE,40.10408006223182,-88.22179874600833,McKinley Health,40.109025,-88.2624139,13
McKinley Health,40.109025,-88.2624139,PAR & FAR,40.10067,-88.220743,13
